Device: cuda  |  dtype: torch.float32
step  13600 | L_energy=-5.5591e-01 | lam=0.000 | lr=8.45e-04 | 919.1s
step  13800 | L_energy=-6.2485e-01 | lam=0.000 | lr=8.41e-04 | 932.4s
step  14000 | L_energy=-5.9619e-01 | lam=0.000 | lr=8.37e-04 | 945.7s
step  14200 | L_energy=-6.4221e-01 | lam=0.000 | lr=8.32e-04 | 959.0s
step  14400 | L_energy=-5.5177e-01 | lam=0.000 | lr=8.28e-04 | 972.3s
step  14600 | L_energy=-4.2571e-01 | lam=0.000 | lr=8.24e-04 | 985.5s
step  14800 | L_energy=-5.6268e-01 | lam=0.000 | lr=8.19e-04 | 998.8s
step  15000 | L_energy=-5.1569e-01 | lam=0.000 | lr=8.15e-04 | 1012.1s
step  15200 | L_energy=-6.5794e-01 | lam=0.000 | lr=8.10e-04 | 1025.4s
step  15400 | L_energy=-3.5653e-01 | lam=0.000 | lr=8.05e-04 | 1038.6s
step  15600 | L_energy=-5.0224e-01 | lam=0.000 | lr=8.01e-04 | 1051.9s
step  15800 | L_energy=-6.5197e-01 | lam=0.000 | lr=7.96e-04 | 1065.1s
step  16000 | L_energy=-3.2862e-01 | lam=0.000 | lr=7.91e-04 | 1078.3s
step  16200 | L_energy=-5.1399e-01 | lam=0.000 | lr=7.86e-04 | 1091.6s
step  16400 | L_energy=-4.6692e-01 | lam=0.000 | lr=7.81e-04 | 1104.8s
step  16600 | L_energy=-5.1806e-01 | lam=0.000 | lr=7.77e-04 | 1118.1s
step  16800 | L_energy=-6.0345e-01 | lam=0.000 | lr=7.72e-04 | 1131.3s
step  17000 | L_energy=-6.9914e-01 | lam=0.000 | lr=7.67e-04 | 1144.5s
step  17200 | L_energy=-5.4342e-01 | lam=0.000 | lr=7.62e-04 | 1157.8s
step  17400 | L_energy=-7.9967e-01 | lam=0.000 | lr=7.57e-04 | 1171.0s
step  17600 | L_energy=1.1250e-01 | lam=0.000 | lr=7.52e-04 | 1184.2s
step  17800 | L_energy=-5.7963e-01 | lam=0.000 | lr=7.47e-04 | 1197.5s
step  18000 | L_energy=-8.6893e-01 | lam=0.000 | lr=7.42e-04 | 1210.7s
step  18200 | L_energy=-6.3252e-01 | lam=0.000 | lr=7.36e-04 | 1223.9s
step  18400 | L_energy=-5.7287e-01 | lam=0.000 | lr=7.31e-04 | 1237.1s
step  18600 | L_energy=-5.1501e-01 | lam=0.000 | lr=7.26e-04 | 1250.4s
step  18800 | L_energy=-3.9003e-01 | lam=0.000 | lr=7.21e-04 | 1263.6s
step  19000 | L_energy=-5.7787e-01 | lam=0.000 | lr=7.16e-04 | 1276.8s
step  19200 | L_energy=-5.7975e-01 | lam=0.000 | lr=7.10e-04 | 1290.0s
step  19400 | L_energy=-6.6937e-01 | lam=0.000 | lr=7.05e-04 | 1303.2s
step  19600 | L_energy=-5.1360e-01 | lam=0.000 | lr=7.00e-04 | 1316.5s
step  19800 | L_energy=-3.4516e-01 | lam=0.000 | lr=6.94e-04 | 1329.7s
step  20000 | L_energy=-4.8172e-01 | lam=0.000 | lr=6.89e-04 | 1342.9s
  → saved checkpoints/ckpt_step020000.pt
step  20200 | L_energy=-3.5668e-01 | lam=0.000 | lr=6.84e-04 | 1356.2s
step  20400 | L_energy=-4.3243e-01 | lam=0.000 | lr=6.78e-04 | 1369.4s
step  20600 | L_energy=-6.1935e-01 | lam=0.000 | lr=6.73e-04 | 1382.6s
step  20800 | L_energy=-7.8096e-01 | lam=0.000 | lr=6.67e-04 | 1395.8s
step  21000 | L_energy=-5.1539e-01 | lam=0.000 | lr=6.62e-04 | 1409.0s
step  21200 | L_energy=-6.8755e-01 | lam=0.000 | lr=6.56e-04 | 1422.2s
step  21400 | L_energy=-6.0408e-01 | lam=0.000 | lr=6.51e-04 | 1435.5s
step  21600 | L_energy=-4.5625e-01 | lam=0.000 | lr=6.45e-04 | 1448.7s
step  21800 | L_energy=-4.3236e-01 | lam=0.000 | lr=6.40e-04 | 1461.9s
step  22000 | L_energy=-4.1872e-01 | lam=0.000 | lr=6.34e-04 | 1475.1s
step  22200 | L_energy=-5.4972e-01 | lam=0.000 | lr=6.29e-04 | 1488.3s
step  22400 | L_energy=-2.6505e-01 | lam=0.000 | lr=6.23e-04 | 1501.5s
step  22600 | L_energy=-7.3676e-01 | lam=0.000 | lr=6.18e-04 | 1514.7s
step  22800 | L_energy=-5.6144e-01 | lam=0.000 | lr=6.12e-04 | 1527.9s
step  23000 | L_energy=-5.1445e-01 | lam=0.000 | lr=6.06e-04 | 1541.2s
step  23200 | L_energy=-5.6352e-01 | lam=0.000 | lr=6.01e-04 | 1554.4s
step  23400 | L_energy=-4.4930e-01 | lam=0.000 | lr=5.95e-04 | 1567.6s
step  23600 | L_energy=-2.5744e-01 | lam=0.000 | lr=5.90e-04 | 1580.8s
step  23800 | L_energy=-6.0802e-01 | lam=0.000 | lr=5.84e-04 | 1594.1s
step  24000 | L_energy=-5.7560e-01 | lam=0.000 | lr=5.78e-04 | 1607.3s
step  24200 | L_energy=-5.0826e-01 | lam=0.000 | lr=5.73e-04 | 1620.5s
step  24400 | L_energy=-5.9511e-01 | lam=0.000 | lr=5.67e-04 | 1633.7s
step  24600 | L_energy=-6.0165e-01 | lam=0.000 | lr=5.61e-04 | 1646.9s
step  24800 | L_energy=-4.1558e-01 | lam=0.000 | lr=5.56e-04 | 1660.1s
step  25000 | L_energy=-6.9919e-01 | lam=0.000 | lr=5.50e-04 | 1673.3s
step  25200 | L_energy=-4.5568e-01 | lam=0.000 | lr=5.44e-04 | 1686.5s
step  25400 | L_energy=-4.3104e-01 | lam=0.000 | lr=5.39e-04 | 1699.8s
step  25600 | L_energy=-2.4914e-01 | lam=0.000 | lr=5.33e-04 | 1713.0s
