r_um,w_comsol_2000Pa_um,w_analitik_2000Pa_um,w_pinn_2000Pa_um,w_comsol_8000Pa_um,w_analitik_8000Pa_um,w_pinn_8000Pa_um,w_comsol_16000Pa_um,w_analitik_16000Pa_um,w_pinn_16000Pa_um
0.000000,-6.633363,-5.778246,-6.914845,-9.668100,-9.668000,-9.663788,-9.668100,-9.668000,-9.664677
5.026600,-6.632255,-5.777067,-6.913853,-9.668100,-9.668000,-9.664346,-9.668100,-9.668000,-9.665093
10.053200,-6.628929,-5.773530,-6.910306,-9.668100,-9.668000,-9.664727,-9.668100,-9.668000,-9.665393
15.079800,-6.623387,-5.767637,-6.904207,-9.668100,-9.668000,-9.665000,-9.668100,-9.668000,-9.665617
20.106300,-6.615629,-5.759393,-6.895576,-9.668100,-9.668000,-9.665195,-9.668100,-9.668000,-9.665788
25.132900,-6.605658,-5.748802,-6.884416,-9.668100,-9.668000,-9.665337,-9.668100,-9.668000,-9.665920
30.159500,-6.593475,-5.735870,-6.870741,-9.668100,-9.668000,-9.665436,-9.668100,-9.668000,-9.666025
35.186100,-6.579083,-5.720606,-6.854568,-9.668100,-9.668000,-9.665502,-9.668100,-9.668000,-9.666107
40.212700,-6.562485,-5.703019,-6.835917,-9.668100,-9.668000,-9.665539,-9.668100,-9.668000,-9.666171
45.239300,-6.543685,-5.683120,-6.814787,-9.668100,-9.668000,-9.665548,-9.668100,-9.668000,-9.666222
50.265900,-6.522686,-5.660921,-6.791207,-9.668100,-9.668000,-9.665533,-9.668100,-9.668000,-9.666260
55.292500,-6.499493,-5.636435,-6.765193,-9.668100,-9.668000,-9.665492,-9.668100,-9.668000,-9.666288
60.319000,-6.474112,-5.609679,-6.736767,-9.668100,-9.668000,-9.665422,-9.668100,-9.668000,-9.666306
65.345600,-6.446547,-5.580668,-6.705941,-9.668100,-9.668000,-9.665319,-9.668100,-9.668000,-9.666315
70.372200,-6.416806,-5.549421,-6.672741,-9.668100,-9.668000,-9.665174,-9.668100,-9.668000,-9.666317
75.398800,-6.384895,-5.515957,-6.637178,-9.668100,-9.668000,-9.664980,-9.668100,-9.668000,-9.666311
80.425400,-6.350821,-5.480297,-6.599288,-9.668100,-9.668000,-9.664714,-9.668100,-9.668000,-9.666299
85.452000,-6.314593,-5.442463,-6.559082,-9.668100,-9.668000,-9.664344,-9.668100,-9.668000,-9.666276
90.478600,-6.276220,-5.402480,-6.516591,-9.668100,-9.668000,-9.663815,-9.668100,-9.668000,-9.666248
95.505200,-6.235711,-5.360372,-6.471830,-9.668100,-9.668000,-9.663023,-9.668100,-9.668000,-9.666209
100.531700,-6.193077,-5.316167,-6.424830,-9.668100,-9.668000,-9.661735,-9.668100,-9.668000,-9.666162
105.558300,-6.148328,-5.269891,-6.375613,-9.668100,-9.668000,-9.659382,-9.668100,-9.668000,-9.666103
110.584900,-6.101476,-5.221576,-6.324203,-9.668100,-9.668000,-9.654268,-9.668100,-9.668000,-9.666033
115.611500,-6.052535,-5.171252,-6.270626,-9.668100,-9.668000,-9.641521,-9.668100,-9.668000,-9.665946
120.638100,-6.001517,-5.118951,-6.214908,-9.668100,-9.668000,-9.615916,-9.668100,-9.668000,-9.665840
125.664700,-5.948439,-5.064708,-6.157073,-9.668100,-9.668000,-9.580938,-9.668100,-9.668000,-9.665713
130.691300,-5.893314,-5.008557,-6.097152,-9.668100,-9.668000,-9.540789,-9.668100,-9.668000,-9.665556
135.717900,-5.836160,-4.950536,-6.035168,-9.668100,-9.668000,-9.496963,-9.668100,-9.668000,-9.665358
140.744400,-5.776995,-4.890685,-5.971153,-9.668100,-9.668000,-9.449948,-9.668100,-9.668000,-9.665107
145.771000,-5.715836,-4.829039,-5.905130,-9.668100,-9.668000,-9.399896,-9.668100,-9.668000,-9.664777
150.797600,-5.652705,-4.765643,-5.837127,-9.668100,-9.668000,-9.346841,-9.668100,-9.668000,-9.664326
155.824200,-5.587622,-4.700538,-5.767177,-9.668100,-9.668000,-9.290757,-9.668100,-9.668000,-9.663681
160.850800,-5.520611,-4.633768,-5.695303,-9.668100,-9.668000,-9.231590,-9.668100,-9.668000,-9.662692
165.877400,-5.451693,-4.565380,-5.621536,-9.668100,-9.591494,-9.169268,-9.668100,-9.668000,-9.661008
170.904000,-5.380896,-4.495419,-5.545909,-9.668100,-9.444512,-9.103685,-9.668100,-9.668000,-9.657657
175.930600,-5.308245,-4.423934,-5.468449,-9.658001,-9.294329,-9.034758,-9.668100,-9.668000,-9.649524
180.957100,-5.233769,-4.350977,-5.389190,-9.631351,-9.141052,-8.962365,-9.668690,-9.668000,-9.629671
