r_um,w_comsol_2000Pa_um,w_analitik_2000Pa_um,w_pinn_2000Pa_um,w_comsol_8000Pa_um,w_analitik_8000Pa_um,w_pinn_8000Pa_um,w_comsol_16000Pa_um,w_analitik_16000Pa_um,w_pinn_16000Pa_um
0.000000,-6.928360,-6.382036,-7.270614,-11.329700,-11.330000,-11.168442,-11.329700,-11.330000,-11.327990
5.001300,-6.927273,-6.380734,-7.271155,-11.329700,-11.330000,-11.186291,-11.329700,-11.330000,-11.328162
10.002600,-6.924010,-6.376827,-7.269064,-11.329700,-11.330000,-11.200713,-11.329700,-11.330000,-11.328295
15.003800,-6.918573,-6.370319,-7.264343,-11.329700,-11.330000,-11.211761,-11.329700,-11.330000,-11.328397
20.005100,-6.910962,-6.361214,-7.257008,-11.329700,-11.330000,-11.219524,-11.329700,-11.330000,-11.328479
25.006400,-6.901178,-6.349516,-7.247066,-11.329700,-11.330000,-11.224068,-11.329700,-11.330000,-11.328542
30.007700,-6.889221,-6.335234,-7.234534,-11.329700,-11.330000,-11.225462,-11.329700,-11.330000,-11.328591
35.008900,-6.875093,-6.318375,-7.219424,-11.329700,-11.330000,-11.223748,-11.329700,-11.330000,-11.328629
40.010200,-6.858796,-6.298951,-7.201746,-11.329700,-11.330000,-11.218950,-11.329700,-11.330000,-11.328660
45.011500,-6.840330,-6.276973,-7.181525,-11.329700,-11.330000,-11.211044,-11.329700,-11.330000,-11.328680
50.012800,-6.819699,-6.252454,-7.158777,-11.329700,-11.330000,-11.200028,-11.329700,-11.330000,-11.328692
55.014000,-6.796903,-6.225411,-7.133511,-11.329700,-11.330000,-11.185884,-11.329700,-11.330000,-11.328699
60.015300,-6.771947,-6.195860,-7.105755,-11.329700,-11.330000,-11.168612,-11.329700,-11.330000,-11.328700
65.016600,-6.744832,-6.163818,-7.075524,-11.329700,-11.330000,-11.148213,-11.329700,-11.330000,-11.328694
70.017900,-6.715562,-6.129306,-7.042841,-11.323397,-11.330000,-11.124714,-11.329700,-11.330000,-11.328681
75.019100,-6.684141,-6.092347,-7.007725,-11.311113,-11.330000,-11.098129,-11.329700,-11.330000,-11.328662
80.020400,-6.650572,-6.052961,-6.970197,-11.293225,-11.330000,-11.068489,-11.329700,-11.330000,-11.328637
85.021700,-6.614861,-6.011175,-6.930282,-11.270104,-11.330000,-11.035818,-11.329700,-11.330000,-11.328603
90.023000,-6.577011,-5.967014,-6.887999,-11.241979,-11.330000,-11.000141,-11.329700,-11.330000,-11.328563
95.024300,-6.537028,-5.920507,-6.843377,-11.209038,-11.330000,-10.961478,-11.329700,-11.330000,-11.328510
100.025500,-6.494919,-5.871684,-6.796432,-11.171443,-11.330000,-10.919839,-11.329700,-11.330000,-11.328448
105.026800,-6.450689,-5.820574,-6.747190,-11.129333,-11.330000,-10.875238,-11.329700,-11.330000,-11.328373
110.028100,-6.404346,-5.767211,-6.695683,-11.082825,-11.262600,-10.827683,-11.329700,-11.330000,-11.328279
115.029400,-6.355897,-5.711629,-6.641926,-11.032020,-11.154056,-10.777165,-11.329700,-11.330000,-11.328166
120.030600,-6.305351,-5.653866,-6.585950,-10.977006,-11.041252,-10.723692,-11.329700,-11.330000,-11.328024
125.031900,-6.252717,-5.593955,-6.527777,-10.917856,-10.924255,-10.667233,-11.329700,-11.330000,-11.327844
130.033200,-6.198005,-5.531939,-6.467434,-10.854636,-10.803145,-10.607774,-11.329700,-11.330000,-11.327610
135.034500,-6.141225,-5.467856,-6.404944,-10.787401,-10.678000,-10.545291,-11.329700,-11.330000,-11.327299
140.035700,-6.082390,-5.401752,-6.340335,-10.716203,-10.548907,-10.479745,-11.329700,-11.330000,-11.326861
145.037000,-6.021511,-5.333666,-6.273629,-10.641086,-10.415945,-10.411098,-11.329700,-11.330000,-11.326212
150.038300,-5.958602,-5.263647,-6.204854,-10.562089,-10.279205,-10.339291,-11.329700,-11.330000,-11.325153
155.039600,-5.893678,-5.191740,-6.134037,-10.479246,-10.138781,-10.264281,-11.329700,-11.330000,-11.323166
160.040800,-5.826755,-5.117996,-6.061204,-10.392589,-9.994769,-10.185994,-11.329700,-11.330000,-11.318454
165.042100,-5.757850,-5.042463,-5.986374,-10.302144,-9.847262,-10.104371,-11.329700,-11.330000,-11.303900
170.043400,-5.686981,-4.965193,-5.909583,-10.207936,-9.696364,-10.019334,-11.329700,-11.330000,-11.269814
175.044700,-5.614167,-4.886240,-5.830848,-10.109989,-9.542180,-9.930808,-11.329700,-11.330000,-11.223581
180.046000,-5.539430,-4.805659,-5.750203,-10.008323,-9.384816,-9.838708,-11.329700,-11.330000,-11.171440
185.047200,-5.462792,-4.723508,-5.667673,-9.902958,-9.224387,-9.742955,-11.329700,-11.330000,-11.114825
190.048500,-5.384277,-4.639843,-5.583288,-9.793913,-9.061000,-9.643465,-11.329700,-11.330000,-11.053969
195.049800,-5.303912,-4.554725,-5.497068,-9.681206,-8.894775,-9.540152,-11.329700,-11.330000,-10.988788
200.051100,-5.221723,-4.468214,-5.409052,-9.564853,-8.725831,-9.432940,-11.329700,-11.330000,-10.919071
205.052300,-5.137740,-4.380377,-5.319270,-9.444873,-8.554296,-9.321756,-11.329700,-11.292154,-10.844569
210.053600,-5.051994,-4.291273,-5.227746,-9.321283,-8.380288,-9.206528,-11.328556,-11.062454,-10.765003
215.054900,-4.964519,-4.200971,-5.134517,-9.194102,-8.203941,-9.087193,-11.298469,-10.829666,-10.680084
220.056200,-4.875351,-4.109539,-5.039617,-9.063348,-8.025386,-8.963701,-11.253150,-10.593963,-10.589527
225.057400,-4.784527,-4.017048,-4.943087,-8.929042,-7.844762,-8.836014,-11.191255,-10.355530,-10.493052
230.058700,-4.692088,-3.923564,-4.844959,-8.791206,-7.662202,-8.704104,-11.114080,-10.114540,-10.390387
235.060000,-4.598077,-3.829164,-4.745276,-8.649865,-7.477850,-8.567954,-11.022718,-9.871185,-10.281283
240.061300,-4.502538,-3.733920,-4.644084,-8.505042,-7.291852,-8.427575,-10.918147,-9.625657,-10.165520
245.062500,-4.405519,-3.637910,-4.541431,-8.356769,-7.104358,-8.282980,-10.801255,-9.378154,-10.042897
250.063800,-4.307071,-3.541209,-4.437362,-8.205075,-6.915513,-8.134206,-10.672842,-9.128868,-9.913245
255.065100,-4.207249,-3.443896,-4.331933,-8.049996,-6.725474,-7.981304,-10.533622,-8.878005,-9.776433
260.066400,-4.106110,-3.346053,-4.225201,-7.891571,-6.534398,-7.824345,-10.384237,-8.625775,-9.632365
265.067700,-4.003715,-3.247761,-4.117230,-7.729843,-6.342447,-7.663416,-10.225268,-8.372389,-9.480987
270.068900,-3.900125,-3.149106,-4.008090,-7.564860,-6.149787,-7.498623,-10.057234,-8.118067,-9.322281
275.070200,-3.795408,-3.050170,-3.897842,-7.396674,-5.956578,-7.330073,-9.880609,-7.863019,-9.156259
280.071500,-3.689634,-2.951041,-3.786567,-7.225343,-5.762992,-7.157906,-9.695831,-7.607475,-8.982985
285.072800,-3.582879,-2.851808,-3.674349,-7.050933,-5.569203,-6.982265,-9.503305,-7.351663,-8.802555
290.074000,-3.475221,-2.752563,-3.561272,-6.873516,-5.375391,-6.803313,-9.303402,-7.095820,-8.615098
295.075300,-3.366744,-2.653394,-3.447426,-6.693171,-5.181727,-6.621209,-9.096469,-6.840173,-8.420774
300.076600,-3.257534,-2.554396,-3.332911,-6.509987,-4.988397,-6.436137,-8.882833,-6.584966,-8.219772
305.077900,-3.147681,-2.455664,-3.217832,-6.324058,-4.795586,-6.248285,-8.662795,-6.330445,-8.012321
310.079100,-3.037282,-2.357296,-3.102298,-6.135489,-4.603487,-6.057849,-8.436649,-6.076863,-7.798667
315.080400,-2.926436,-2.259387,-2.986420,-5.944397,-4.412284,-5.865025,-8.204681,-5.824464,-7.579071
320.081700,-2.815249,-2.162038,-2.870322,-5.750910,-4.222174,-5.670018,-7.967171,-5.573509,-7.353823
325.083000,-2.703833,-2.065351,-2.754130,-5.555167,-4.033356,-5.473047,-7.724397,-5.324259,-7.123234
330.084200,-2.592305,-1.969429,-2.637976,-5.357321,-3.846035,-5.274327,-7.476640,-5.076984,-6.887630
335.085500,-2.480785,-1.874375,-2.521998,-5.157540,-3.660407,-5.074072,-7.224182,-4.831944,-6.647341
340.086800,-2.369401,-1.780296,-2.406337,-4.956005,-3.476682,-4.872507,-6.967312,-4.589417,-6.402721
345.088100,-2.258282,-1.687299,-2.291142,-4.752910,-3.295072,-4.669860,-6.706326,-4.349681,-6.154137
350.089400,-2.147568,-1.595494,-2.176567,-4.548469,-3.115788,-4.466366,-6.441539,-4.113017,-5.901971
355.090600,-2.037405,-1.504993,-2.062770,-4.342918,-2.939053,-4.262262,-6.173285,-3.879716,-5.646613
360.091900,-1.927944,-1.415906,-1.949912,-4.136510,-2.765077,-4.057788,-5.901918,-3.650058,-5.388460
365.093200,-1.819345,-1.328347,-1.838158,-3.929521,-2.594087,-3.853200,-5.627818,-3.424341,-5.127939
370.094500,-1.711772,-1.242434,-1.727686,-3.722250,-2.426309,-3.648759,-5.351392,-3.202865,-4.865491
375.095700,-1.605396,-1.158284,-1.618668,-3.515016,-2.261975,-3.444745,-5.073073,-2.985935,-4.601585
380.097000,-1.500394,-1.076013,-1.511283,-3.308158,-2.101311,-3.241436,-4.793327,-2.773850,-4.336694
385.098300,-1.396951,-0.995743,-1.405718,-3.102054,-1.944555,-3.039150,-4.512666,-2.566923,-4.071352
390.099600,-1.295262,-0.917597,-1.302163,-2.897107,-1.791945,-2.838217,-4.231650,-2.365469,-3.806117
395.100800,-1.195529,-0.841699,-1.200814,-2.693753,-1.643726,-2.638994,-3.950883,-2.169811,-3.541606
400.102100,-1.097965,-0.768171,-1.101863,-2.492462,-1.500136,-2.441865,-3.671031,-1.980264,-3.278475
