r_um,w_comsol_2000Pa_um,w_analitik_2000Pa_um,w_pinn_2000Pa_um,w_comsol_8000Pa_um,w_analitik_8000Pa_um,w_pinn_8000Pa_um,w_comsol_16000Pa_um,w_analitik_16000Pa_um,w_pinn_16000Pa_um
0.000000,-3.886332,-3.796442,-3.761948,-7.790537,-8.050299,-7.702892,-10.266133,-10.822118,-10.151473
3.219300,-3.885620,-3.795667,-3.761748,-7.789400,-8.048656,-7.703237,-10.264804,-10.819910,-10.151230
6.438700,-3.883488,-3.793343,-3.760091,-7.785990,-8.043728,-7.700917,-10.260814,-10.813286,-10.147626
9.658000,-3.879934,-3.789472,-3.756989,-7.780305,-8.035519,-7.695955,-10.254163,-10.802250,-10.140692
12.877400,-3.874960,-3.784055,-3.752440,-7.772347,-8.024034,-7.688356,-10.244852,-10.786810,-10.130458
16.096700,-3.868569,-3.777097,-3.746451,-7.762115,-8.009278,-7.678141,-10.232877,-10.766974,-10.116961
19.316100,-3.860762,-3.768601,-3.739026,-7.749609,-7.991262,-7.665331,-10.218238,-10.742755,-10.100229
22.535400,-3.851543,-3.758573,-3.730171,-7.734829,-7.969998,-7.649945,-10.200932,-10.714169,-10.080296
25.754800,-3.840916,-3.747018,-3.719897,-7.717774,-7.945496,-7.631997,-10.180958,-10.681230,-10.057206
28.974100,-3.828883,-3.733944,-3.708210,-7.698445,-7.917773,-7.611516,-10.158311,-10.643963,-10.030987
32.193500,-3.815451,-3.719359,-3.695114,-7.676842,-7.886846,-7.588524,-10.132989,-10.602386,-10.001684
35.412800,-3.800624,-3.703272,-3.680624,-7.652963,-7.852734,-7.563038,-10.104989,-10.556530,-9.969330
38.632200,-3.784407,-3.685693,-3.664752,-7.626810,-7.815457,-7.535084,-10.074306,-10.506418,-9.933962
41.851500,-3.766809,-3.666633,-3.647498,-7.598383,-7.775041,-7.504693,-10.040937,-10.452086,-9.895617
45.070900,-3.747834,-3.646103,-3.628887,-7.567681,-7.731508,-7.471877,-10.004877,-10.393564,-9.854339
48.290200,-3.727492,-3.624118,-3.608924,-7.534705,-7.684888,-7.436672,-9.966121,-10.330892,-9.810159
51.509600,-3.705791,-3.600688,-3.587620,-7.499455,-7.635207,-7.399101,-9.924665,-10.264105,-9.763124
54.728900,-3.682738,-3.575832,-3.564992,-7.461932,-7.582499,-7.359187,-9.880504,-10.193249,-9.713260
57.948300,-3.658345,-3.549562,-3.541055,-7.422137,-7.526794,-7.316962,-9.833631,-10.118365,-9.660611
61.167600,-3.632619,-3.521898,-3.515823,-7.380072,-7.468132,-7.272446,-9.784042,-10.039505,-9.605210
64.387000,-3.605574,-3.492854,-3.489305,-7.335736,-7.406545,-7.225669,-9.731731,-9.956713,-9.547090
67.606300,-3.577220,-3.462452,-3.461528,-7.289133,-7.342077,-7.176659,-9.676692,-9.870047,-9.486286
70.825700,-3.547569,-3.430708,-3.432499,-7.240264,-7.274765,-7.125440,-9.618919,-9.779559,-9.422825
74.045000,-3.516635,-3.397645,-3.402238,-7.189131,-7.204656,-7.072040,-9.558407,-9.685310,-9.356747
77.264400,-3.484430,-3.363283,-3.370767,-7.135738,-7.131791,-7.016482,-9.495149,-9.587358,-9.288070
80.483700,-3.450970,-3.327645,-3.338098,-7.080089,-7.056223,-6.958795,-9.429140,-9.485770,-9.216827
83.703100,-3.416270,-3.290754,-3.304252,-7.022187,-6.977995,-6.898998,-9.360374,-9.380607,-9.143036
86.922400,-3.380344,-3.252635,-3.269251,-6.962036,-6.897164,-6.837125,-9.288847,-9.271944,-9.066728
90.141800,-3.343213,-3.213310,-3.233109,-6.899643,-6.813777,-6.773191,-9.214551,-9.159847,-8.987912
93.361100,-3.304889,-3.172810,-3.195852,-6.835013,-6.727897,-6.707224,-9.137482,-9.044397,-8.906618
96.580500,-3.265394,-3.131158,-3.157497,-6.768153,-6.639574,-6.639243,-9.057637,-8.925663,-8.822852
99.799800,-3.224748,-3.088384,-3.118067,-6.699072,-6.548873,-6.569277,-8.975010,-8.803733,-8.736631
103.019200,-3.182967,-3.044516,-3.077582,-6.627776,-6.455850,-6.497337,-8.889598,-8.678681,-8.647968
106.238500,-3.140077,-2.999585,-3.036067,-6.554279,-6.360575,-6.423454,-8.801398,-8.550602,-8.556875
109.457900,-3.096096,-2.953620,-2.993538,-6.478589,-6.263107,-6.347634,-8.710408,-8.419573,-8.463351
112.677200,-3.051048,-2.906655,-2.950030,-6.400718,-6.163518,-6.269910,-8.616625,-8.285696,-8.367410
115.896600,-3.004961,-2.858720,-2.905556,-6.320682,-6.061873,-6.190288,-8.520050,-8.149053,-8.269050
119.115900,-2.957852,-2.809852,-2.860146,-6.238493,-5.958249,-6.108794,-8.420682,-8.009750,-8.168281
122.335300,-2.909755,-2.760082,-2.813820,-6.154170,-5.852714,-6.025436,-8.318523,-7.867877,-8.065100
125.554600,-2.860692,-2.709450,-2.766608,-6.067730,-5.745348,-5.940244,-8.213577,-7.723544,-7.959515
128.774000,-2.810691,-2.657988,-2.718531,-5.979192,-5.636223,-5.853216,-8.105846,-7.576846,-7.851521
