r_um,w_comsol_2000Pa_um,w_analitik_2000Pa_um,w_pinn_2000Pa_um,w_comsol_8000Pa_um,w_analitik_8000Pa_um,w_pinn_8000Pa_um,w_comsol_16000Pa_um,w_analitik_16000Pa_um,w_pinn_16000Pa_um
0.000000,-1.621014,-1.213326,-1.589556,-4.865084,-4.188312,-4.919678,-7.229369,-6.756911,-7.300950
2.926000,-1.620688,-1.213079,-1.588700,-4.864191,-4.187458,-4.917922,-7.228165,-6.755533,-7.299218
5.852000,-1.619711,-1.212336,-1.587196,-4.861513,-4.184895,-4.914310,-7.224555,-6.751398,-7.294826
8.778000,-1.618083,-1.211100,-1.585050,-4.857050,-4.180625,-4.908849,-7.218540,-6.744510,-7.287801
11.704000,-1.615805,-1.209369,-1.582256,-4.850805,-4.174651,-4.901541,-7.210120,-6.734872,-7.278140
14.630000,-1.612879,-1.207146,-1.578820,-4.842779,-4.166977,-4.892394,-7.199297,-6.722491,-7.265865
17.556000,-1.609306,-1.204431,-1.574743,-4.832977,-4.157606,-4.881429,-7.186073,-6.707374,-7.250989
20.481900,-1.605088,-1.201227,-1.570032,-4.821401,-4.146546,-4.868645,-7.170451,-6.689530,-7.233532
23.407900,-1.600228,-1.197535,-1.564688,-4.808057,-4.133802,-4.854057,-7.152435,-6.668971,-7.213502
26.333900,-1.594728,-1.193358,-1.558714,-4.792949,-4.119383,-4.837675,-7.132028,-6.645709,-7.190925
29.259900,-1.588592,-1.188698,-1.552116,-4.776084,-4.103297,-4.819511,-7.109234,-6.619758,-7.165815
32.185900,-1.581824,-1.183558,-1.544898,-4.757468,-4.085555,-4.799580,-7.084058,-6.591134,-7.138190
35.111900,-1.574426,-1.177942,-1.537062,-4.737109,-4.066167,-4.777899,-7.056506,-6.559856,-7.108075
38.037900,-1.566405,-1.171852,-1.528620,-4.715015,-4.045145,-4.754482,-7.026583,-6.525942,-7.075485
40.963900,-1.557764,-1.165292,-1.519574,-4.691194,-4.022502,-4.729339,-6.994297,-6.489413,-7.040447
43.889900,-1.548509,-1.158268,-1.509928,-4.665658,-3.998254,-4.702490,-6.959655,-6.450293,-7.002977
46.815900,-1.538644,-1.150782,-1.499692,-4.638416,-3.972413,-4.673955,-6.922664,-6.408606,-6.963102
